,price,description,location,type,size,bedrooms,bathrooms,available_from,available_year,available_month,available_day
0,8000000,"OWN A CHALET IN EL GOUNA WITH A PRIME LOCATION, FULL SEA VIEW, AND LUXURIOUS FINISHES.
DEVOLOBER : ORASCOM
UNITTYPE l CHALET
DETAILS :
- 1 BEDROOM ( MASTER )
- BATHROOM
- FULLY FINISHED with ACs and Kitchen Cabinets+with panoramic lagoon+greenery
- PRIME LOCATION
-  DIRECT ON LAGOON
- BAHARY
- BIG RECEPTION
-------------------------------------------------
FOR MORE INFO CALL :
01202738533
----------------------------------------
Gouna is a high-end, luxurious all-year-round residential destination, and an edge-cutting summer stay that was created by Orascom Development Egypt.
Experience tranquil life at North Bay, El Gouna, which offers iconic homes that skillfully combine dynamic architectural design with the natural surroundings. North Bay raises the bar for luxury living to a whole new level.
It is a visual masterpiece of refinement that is creating a new language for the Northern part of the town while honoring aspects of El Gouna's architectural past, utilizing the beauties of nature, and fusing contemporary aesthetics that appeal to the heart.
North Bay is a magnificent new landmark and innovative development that inhabitants will be delighted to call home. It is anchored by a picturesque lagoon water body of epic proportions that conveniently connects to the open sea.
Imagine living near the ocean in a welcoming, like-minded neighborhood where everyone loves the water and the distinctive way of life that comes with it. With direct boat access through the nearby complexes, residents may just relax while viewing the lagoon that connects to the sea.
An abundance of thoughtfully chosen facilities redefines life. The best of nature's blessings are essentially captured in open-to-sea lagoon-side living, which provides a calm, daring, and soul-nourishing way of life that makes a positive impression on individuals who are lucky enough to call North Bay home.","Swan Lake Gouna, Al Gouna, Hurghada, Red Sea",Chalet,68.0,2,1,2025-08-31,2025,8,31
1,25000000,"For sale, a villa with immediate delivery in Carmel Compound - SODIC - New Zayed
220 m² building area and 400 m² land
4 bedrooms, 4 bathrooms, and a maid's room with a bathroom
Overlooking green spaces
Total price: 25,000,000
Down payment: 21,130,000
Remaining: 3,870,000
Until March 2030
Standalone villa
Price includes maintenance and a clubhouse
Location:
• Prime location in the heart of Sheikh Zayed
• Next to SODIC West Compound
• Close to Juhayna Square and Sphinx Airport
• Steps from the 26th of July Axis
Services and amenities:
• Vast green spaces
• Artificial lakes and water features
• Jogging and cycling tracks
• Children's entertainment areas
• Shopping mall
• Restaurants and cafes
• International brands
• Sports fields
• Clubhouse
• 24-hour security and surveillance
Contact: Hussein Yari 01154554158
SODIC is one of the most prominent real estate developers in Egypt and the Middle East. Its most notable projects include:
· Beverly Hills City in Sheikh Zayed.
· October Plaza 6th of October.
· SODIC East Heliopolis Compound.
· SODIC East Shorouk Compound.
· Sky Condos Project.
· June Village North Coast.","Karmell, New Zayed City, Sheikh Zayed City, Giza",Villa,220.0,4,4,2025-09-02,2025,9,2
2,15135000,"With a down payment of EGP 1,513,000, a fully finished chalet with air conditioning and a kitchen in Azha, Ray El Hekma.
Area: 118 m2
Layout: 2 bedrooms, 2 bathrooms
With a down payment of EGP 1,513,000 and the remaining amount to be paid in installments over the longest repayment period.
You will receive the property fully finished, including air conditioning and a kitchen.
Location:
Azha, North Coast, Ras El Hekma, kilometer 214","Azha North, Ras Al Hekma, North Coast",Chalet,118.0,2,2,2025-08-19,2025,8,19
3,12652000,"Own an apartment in New Cairo with a minimal down payment and installments over 12 years.
In Taj City Compound.
The apartment offers a very distinctive view.
The best layout available.
Total area: 166 m.
For more details, contact us at: 01033457757.
Divided into: 3 bedrooms (master bedroom + dressing room + bathroom).
Guest bathroom - kitchen - 2-piece reception.
The compound is fully equipped with the best services.
For more details:
01033457757","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,166.0,3,2,2025-08-26,2025,8,26
4,45250000,"Project: Granville
Location: Fifth Settlement, New Cairo
Unit Type: Standalone
Finishing: Fully Finished
Area: 400 m
Unit Details:
- 7 Bedrooms
- 7 Bathrooms
In the heart of the capital and 5 minutes from the American University
Payment Method:
Total Unit Price: 45,250,000 EGP
Down Payment: 2,262,500 EGP
Installments over 10 years
Delivery Date : 6 months
==============
Founders Real Estate Development is a leading company in the Egyptian market. Launched in 2019 as a subsidiary of Hyde Park Developments, Founders specializes in delivering high-end residential and commercial projects with elegant European designs. The company focuses on selecting prime locations and offering premium-quality units with competitive pricing and flexible payment plans.
In addition to Granville, Founders has developed other successful projects such as Gardenia Compound in Nasr City and Wesal Compound in El Shorouk City. The company is committed to meeting client needs by delivering luxurious and globally-inspired real estate solutions.
===========
Villas for sale in Granville
4 bedroom Properties for sale in Granville
Townhouses for sale in Granville
5 bedroom Properties for sale in Granville
6 bedroom Properties for sale in Granville
3 bedroom Properties for sale in Granville","Granville, New Capital City, Cairo",Villa,400.0,7,7,2025-09-02,2025,9,2
5,19760000,"Chalet with Marina and Lake View in The Island – Marina 5 – North Coast
Village: The Island – Marina 5
Built-in Area: 63 m
Garden Area: 52 m
Internal Layout: Bedroom
Bathroom
Reception
Kitchen
Private Garden
Delivery Fully Finished
Direct Marina and Lake View
Down Payment: EGP 988,000, Installments over 10 Years
Total Price: EGP 19,760,000","Marina 5, Marina, Al Alamein, North Coast",Chalet,126.0,3,2,2025-08-26,2025,8,26
6,9000000,"Penthouse 4BR for sale with Installments over 10 years in Icon Residence - Fifth Settlement - New Cairo.
Area: 262 m² + roof
Consists of (4 bedrooms + 5 bathrooms + reception + kitchen + terrace)
Private location
Open view
Price: 9,000,000
Payment plan : Installments over 10 years
For more details, contact us now
Location of The Icon Residence
The Icon Residence Compound enjoys a premium location in 5th Settlement, New Cairo, within very close proximity to 90th Road. Thanks to this unique location, The Icon Residence is:
Only 12 minutes away from New Cairo’s Golden Square
Just 12 minutes away from American University in Cairo’s (AUC) New Cairo Campus
30 minutes away from New Administrative Capital City
30 minutes away from Nasr City
35 minutes away from Mostakbal City
36 minutes away from Cairo International Airport
60 minutes away from 6 October City","The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Penthouse,262.0,4,5,2025-07-03,2025,7,3
7,2770000,"Stand-alone villa in NYOUM Compound, October
--------------
Building area: 370 square meters
Garden area: 350 square meters
--------------
Location:
- 5 minutes from Dahshur Link
- 5 minutes from Beverly Hills
- 10 minutes from Mall of Arabia
- 10 minutes from Juhayna Square
- 10 minutes from Arkan Plaza
- 20 minutes from Alexandria Desert Road
- 20 minutes from Mohandessin
--------------
Services:
- 24-hour security
- Electronic gates
- Surveillance cameras
- Swimming pools for all ages
- Water features
- Green spaces
- Fully secured garages
- Kids area
- Restaurants
- BBQ areas
- Schools
- Bike tracks
- Tracks For walking
------------------------------------------
Required:
2,770,000 EGP, with the remainder to be paid in installments with the company over 8 years.
For contact and viewing:
01100531002
- Calls or WhatsApp
- ...","Nyoum October, Northern Expansions, 6 October City, Giza",Villa,370.0,6,5,2025-08-26,2025,8,26
8,13200000,"**La Vista Ras El Hikma seaview twinhouse - Ready for Delivery**
* **Area**: 220 sqm
* **3 Bedrooms**
* **3 Bathrooms**
* **Private Garden**
**Down Payment**: 13.2 million EGP, with the remaining amount payable in installments over 4 years.
### **Location of La Vista Ras El Hikma:**
* On the new Fouka Road, which connects Cairo to the North Coast.
* Close to **Sidi Abdel Rahman**, one of the most famous areas there.
* Just a short distance from **New Alamein** and Wadi El-Natrun Road.
* Near **Sidi Hanish**, La Vista Bay, and **Marsa Matrouh**.
* Not far from **Alexandria** and **New Alamein**.
* Surrounding the village are well-known resorts like:
* La Vista Bay East
* Marina Ras El Hikma
* Marassi
* Caesar Sodic
---
### **Services and Amenities - La Vista Ras El Hikma:**
* **Malls & Shops** – Commercial areas serving residents.
* **Restaurants & Cafes** – Dining and drinks with a beautiful sea view.
* **Green Spaces** – Lush greenery and artificial lakes.
* **Swimming Pools** – For adults and children.
* **Sports Fields** – Football, basketball, and beach sports.
* **Car Parking** – Organized to maintain peace and order.
* **Gym & Spa** – Fitness and relaxation facilities.
* **24/7 Security** – Continuous surveillance.
* **CCTV Cameras** – For security and privacy.
* **Kids Area** – Various games and activities for children.
* **5-Star Hotel** – Comfort and luxury.
* **Amusement & Water Parks** – Fun for both adults and kids.","La vista Ras El Hikma, Ras Al Hekma, North Coast",Twin House,220.0,3,3,2025-08-25,2025,8,25
9,22300000,"A 195-square-meter duplex + a 42-square-meter roof, ready for immediate delivery, opposite the American University in New Cairo, in Azad Compound, on 90th Street.
The duplex, measuring 195 square meters + a 42-square-meter roof, has a very distinctive layout, consisting of:
3 bedrooms + 2 bathrooms + a large reception room - a terrace - an American kitchen.
The compound is fully serviced and already occupied.
Location in the Fifth Settlement, in the best location:
In front of the American University; next to the SODIC Eastown Compound. Located off 90th Street, it's close to the most important malls in the Fifth Settlement, such as Point 90 and the Spot Mall, and minutes away from Cairo Festival City Mall.
Some of the compound's amenities include:
- Security and guards
- Surveillance cameras
- Shopping mall
- Popular cafes and restaurants
- Clubhouse
- Gym, spa, and jacuzzi
- Green spaces
- Gardens and artificial lakes
- Central Wi-Fi
- Kids area
- Jogging track
- Cycling paths
- Swimming pools
- Medical center
For more details, call 01111556367","Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Duplex,195.0,4,2,2025-08-07,2025,8,7
11,9300000,"• Chalet In || Gouna ||:
- Layout: 1 Bedroom, 2 Bathroom
- Built-Up Area (BUA): 80m
For More Information: 01202737166
=======================================
Nearby Places & Travel Time from El Gouna
Hurghada: 30 mins – Shopping, airport, nightlife
Makadi Bay & Sahl Hasheesh: 1 hr – Resorts & diving
Soma Bay: 1.5 hrs – Beaches, golf, water sports
Desert Monasteries: A few hours – Historic Christian sites
Bedouin Villages: A few hours – Desert safari & culture
For More Information: 01202737166
=======================================
Facilities in El Gouna
Accommodation: Resorts, hotels, rentals
Dining & Entertainment: 100+ restaurants, cafes, nightlife
Sports: Golf, diving, kitesurfing, land activities
Wellness: Spas, yoga, fitness clubs
Marinas: Abu Tig & New Marina with yacht services
Shopping: Boutiques, fashion, souvenirs
Medical: Hospitals, clinics, pharmacies
Transportation: Tuk-tuks, shuttles, bikes
Education & Business: International schools, university, co-working
Culture: Art galleries, music festivals, events
Nightlife: Beach clubs, bars, live music
For More Information: 01202737166
=======================================
#GOUNA
#SOMA_BAY
#MAKADI
#PROPERTIES_FOR_SALE_IN_KAMARAN
#2_BEDROOM_PROPERTIES_FOR_SALE_IN_KAMARAN
#1_BEDROOM_PROPERTIES_FOR_SALE_IN_KAMARAN
#APARTMENTS_FOR_SALE_IN_KAMARAN
#FURNISHED_PROPERTIES_FOR_SALE_IN_KAMARAN
#PROPERTIES_FOR_SALE_IN_MANGROOVY
#2_BEDROOM_PROPERTIES_FOR_SALE_IN_MANGROOVY
#FURNISHED_PROPERTIES_FOR_SALE_IN_MANGROOVY
#VILLAS_FOR_SALE_IN_MANGROOVY
#PROPERTIES_FOR_SALE_IN_SWAN_LAKE_GOUNA
#CHALETS_FOR_SALE_IN_KAMARAN
#2_BEDROOM_CHALETS_FOR_SALE_IN_KAMARAN
#1_BEDROOM_CHALETS_FOR_SALE_IN_KAMARAN
#FURNISHED_CHALETS_FOR_SALE_IN_KAMARAN
#FURNISHED_2_BEDROOM_CHALETS_FOR_SALE_IN_KAMARAN
#CHALETS_FOR_SALE_IN_MANGROOVY
#2_BEDROOM_CHALETS_FOR_SALE_IN_MANGROOVY
#1_BEDROOM_CHALETS_FOR_SALE_IN_MANGROOVY
#CHALETS_FOR_SALE_IN_SWAN_LAKE_GOUNA
#FURNISHED_CHALETS_FOR_SALE_IN_MANGROOVY","Mangroovy Residence, Al Gouna, Hurghada, Red Sea",Chalet,75.0,2,2,2025-08-31,2025,8,31
